,precision,recall,f1-score,support
n07749582,0.9783,0.9574,0.9677,47.0000
n07753592,1.0000,0.9434,0.9709,53.0000
n07768694,1.0000,1.0000,1.0000,51.0000
n07871810,0.9796,0.9057,0.9412,53.0000
n07873807,0.9667,0.9508,0.9587,61.0000
n07875152,0.9286,0.9811,0.9541,53.0000
n07920052,0.9545,1.0000,0.9767,42.0000
n09193705,0.9455,0.9630,0.9541,54.0000
n09246464,0.9062,0.9667,0.9355,60.0000
n09256479,0.9773,0.9348,0.9556,46.0000
n09332890,0.8704,0.9038,0.8868,52.0000
n09428293,0.9600,0.9057,0.9320,53.0000
n12267677,0.9167,0.9821,0.9483,56.0000
